ZIP,LAT,LON
00601,18.181,-66.750
00602,18.362,-67.176
00603,18.455,-67.120
00606,18.158,-66.933
00610,18.295,-67.125
00612,18.402,-66.711
00616,18.420,-66.672
00617,18.445,-66.560
00622,17.991,-67.154
00623,18.083,-67.154
00624,18.065,-66.717
00627,18.413,-66.864
00631,18.191,-66.832
00637,18.077,-66.947
00638,18.296,-66.516
00641,18.263,-66.713
00646,18.433,-66.286
00647,17.964,-66.947
00650,18.349,-66.578
00652,18.448,-66.594
00653,17.985,-66.887
00656,18.054,-66.793
00659,18.407,-66.809
00660,18.135,-67.116
00662,18.468,-67.016
00664,18.210,-66.592
00667,18.003,-67.036
00669,18.277,-66.870
00670,18.240,-66.989
00674,18.423,-66.489
00676,18.378,-67.080
00677,18.333,-67.227
00678,18.434,-66.927
00680,18.182,-67.133
00682,18.221,-67.156
00683,18.108,-67.037
00685,18.333,-66.960
00687,18.319,-66.421
00688,18.382,-66.626
00690,18.496,-67.099
00692,18.410,-66.337
00693,18.423,-66.397
00694,18.482,-66.391
00698,18.065,-66.856
00703,18.248,-66.131
00704,17.966,-66.220
00705,18.129,-66.267
00707,18.014,-65.921
00714,18.003,-66.046
00715,18.011,-66.560
00716,17.992,-66.606
00717,18.003,-66.614
00718,18.232,-65.760
00719,18.290,-66.253
00720,18.218,-66.428
00723,18.043,-66.015
00725,18.219,-66.042
00727,18.215,-66.074
00728,17.990,-66.664
00729,18.324,-65.883
00730,18.031,-66.617
00731,18.110,-66.636
00735,18.253,-65.682
00736,18.104,-66.152
00738,18.304,-65.699
00739,18.177,-66.161
00740,18.331,-65.634
00741,18.164,-65.754
00745,18.352,-65.817
00751,18.001,-66.252
00754,18.147,-65.976
00757,17.995,-66.391
00765,18.130,-65.439
00766,18.133,-66.477
00767,18.069,-65.896
00769,18.104,-66.358
00771,18.187,-65.871
00772,18.439,-65.905
00773,18.343,-65.723
00775,18.327,-65.308
00777,18.224,-65.909
00778,18.264,-65.979
00780,18.103,-66.568
